MATRIC,REC,TUT,Notes
A0302442W,R22,T19,
A0302571N,R21,T57,
A0302574J,R03,T16,
A0302579Y,R09,T07,
A0302600A,R22,T45,
A0302608M,R13,T33,
A0302611Y,R20,T65,
A0302612X,R08,T07,
A0302619J,R16,T31,
A0302630X,R05,T21,
A0302631W,R21,T60,
A0302632U,R11,T07,
A0302635M,R04,T13,
A0302638H,R04,T56,
A0302641U,R16,T04,
A0302642R,R14,T61,
A0302648E,R13,T28,
A0302651R,R03,T49,
A0302662M,R02,T06,
A0302673J,R05,T59,
A0302687Y,R17,T62,
A0302774E,R13,T05,
A0302794B,R11,T03,
A0302802W,R11,T16,
A0302803U,R23,T28,
A0302804R,R10,T53,
A0302810X,R15,T19,
A0302814N,R17,T35,
A0302897U,R23,T20,
A0302899N,R21,T30,
A0302905M,R08,T11,
A0302913N,R12,T52,
A0302919A,R19,T39,
A0302927E,R09,T64,
A0302935H,R19,T49,
A0302939Y,R09,T03,
A0302968W,R17,T37,
A0302976X,R20,T06,
A0302983B,R18,T41,
A0302987U,R15,T50,
A0303012H,R08,T09,
A0303014A,R07,T21,
A0303017X,R14,T38,
A0303028U,R09,T55,
A0303035X,R20,T12,
A0303043Y,R06,T09,
A0303044X,R13,T15,
A0303046U,R02,T41,
A0303065R,R02,T36,
A0303072W,R06,T44,
A0303074R,R19,T19,
A0303083R,R19,T33,
A0303148M,R15,T54,
A0303149L,R05,T12,
A0303153W,R23,T27,
A0303162W,R04,T43,
A0303210H,R17,T24,
A0303213B,R14,T31,Need to check for R14 in coursereg.
A0303223Y,R01,T21,
A0303232Y,R23,T51,
A0303234W,R02,T61,
A0303242X,R11,T17,
A0303243W,R02,T32,
A0303255N,R06,T34,
A0303267J,R18,T47,
A0303301E,R12,T11,
A0305508J,R12,T55,
A0305533M,R01,T49,
A0305552L,R03,T23,
A0305554H,R15,T24,
A0305574A,R16,T04,
A0305576Y,R17,T60,
A0305577X,R11,T09,
A0305582E,R13,T48,
A0305588U,R04,T58,
A0305592A,R16,T45,
A0305606L,R10,T31,
A0305613N,R10,T56,
A0305622N,R13,T47,
A0305633L,R16,T43,
A0305648Y,R07,T60,
A0305652J,R19,T14,
A0305666Y,R16,T53,
A0305667X,R06,T10,
A0305674B,R09,T48,
A0305688R,R03,T32,
A0305690E,R09,T59,
A0305701U,R10,T19,
A0305711R,R10,T24,
A0305725H,R20,T65,
A0305728B,R21,T08,
A0305745A,R13,T30,
A0305749W,R18,T10,
A0305756Y,R14,T38,
A0305759U,R22,T25,
A0305763A,R18,T33,
A0305772A,R20,T05,
A0305778R,R01,T52,
A0305780E,R20,T28,
A0305789M,R16,T29,
A0305790A,R23,T01,
A0305793X,R06,T18,
A0305796R,R21,T51,
A0305804L,R12,T63,
A0305806H,R10,T09,
A0305807E,R12,T15,
A0305811N,R21,T06,
A0305822L,R01,T53,
A0305826A,R05,T54,
A0305827B,R17,T39,
A0305840L,R07,T23,
A0305841J,R06,T52,
A0305847X,R07,T57,
A0305849U,R18,T41,
A0305857W,R01,T58,
A0305867U,R11,T01,
A0305891Y,R11,T62,
A0305892X,R15,T39,
A0305896N,R20,T58,
A0305932H,R02,T55,
A0305933E,R01,T50,
A0305949R,R05,T24,
A0305952A,R19,T56,
A0305963Y,R12,T12,
A0305969M,R18,T17,
A0305985R,R13,T20,
A0305989J,R07,T26,
A0305992W,R19,T36,
A0306202Y,R22,T44,
A0306205U,R23,T18,
A0306734E,R12,T27,
A0306736B,R02,T62,
A0306741J,R10,T05,
A0306743E,R15,T14,
A0306753A,R04,T22,
A0306756X,R05,T61,
A0306762A,R08,T65,
A0306765X,R14,T57,
A0306785U,R02,T38,
A0306790B,R01,T17,
A0306812L,R03,T13,
A0306814H,R14,T64,
